C1	C2	C3	C4
A15	B39	0.9	0.3
A15	B40	0.9	0.3
A15	B41	1	1
A15	B42	1	1
A15	B43	1	1
A15	B44	1	1
A15	B45	1	1
A15	B46	1	1
A15	B47	1	1
A15	B48	1	1
A15	B49	1	1
A15	B50	1	1
A15	B51	1	1
A15	B52	1	1
A15	B53	1	1
A15	B54	1	1
A15	B55	1	1
A15	B56	1	1
A15	B57	1	1
A15	B58	1	1
A15	B59	1	1
A15	B60	1	1
A15	B61	1	1
A15	B62	1	1
A15	B63	1	1
A15	B64	1	1
A15	B65	1	1
A15	B66	1	1
A15	B67	1	1
A15	B68	1	1
A15	B69	1	1
A15	B70	1	1
A15	B71	1	1
A15	B72	1	1
A15	B73	1	1
A15	B74	1	1
A15	B75	1	1
A15	B76	1	1
A15	B77	1	1
A15	B78	1	1
A15	B79	1	1
A15	B80	1	1
A16	B1	0.9	0.3
A16	B2	0.9	0.3
A16	B3	0.9	0.3
A16	B4	0.9	0.3
A16	B5	0.9	0.3
A16	B6	0.9	0.3
A16	B7	0.9	0.3
A16	B8	0.9	0.3
A16	B9	0.9	0.3
A16	B10	0.9	0.3
A16	B11	0.9	0.3
A16	B12	0.9	0.3
A16	B13	0.9	0.3
A16	B14	0.9	0.3
A16	B15	0.9	0.3
A16	B16	0.9	0.3
A16	B17	0.9	0.3
A16	B18	0.9	0.3
A16	B19	0.9	0.3
A16	B20	0.9	0.3
A16	B21	0.9	0.3
A16	B22	0.9	0.3
A16	B23	0.9	0.3
A16	B24	0.9	0.3
A16	B25	0.9	0.3
A16	B26	0.9	0.3
A16	B27	0.9	0.3
A16	B28	0.9	0.3
A16	B29	0.9	0.3
A16	B30	0.9	0.3
A16	B31	0.9	0.3
A16	B32	0.9	0.3
A16	B33	0.9	0.3
A16	B34	0.9	0.3
A16	B35	0.9	0.3
A16	B36	0.9	0.3
A16	B37	0.9	0.3
A16	B38	0.9	0.3
A16	B39	0.9	0.3
A16	B40	0.9	0.3
A16	B41	1	1
A16	B42	1	1
A16	B43	1	1
A16	B44	1	1
A16	B45	1	1
A16	B46	1	1
A16	B47	1	1
A16	B48	1	1
A16	B49	1	1
A16	B50	1	1
A16	B51	1	1
A16	B52	1	1
A16	B53	1	1
A16	B54	1	1
A16	B55	1	1
A16	B56	1	1
A16	B57	1	1
A16	B58	1	1
A16	B59	1	1
A16	B60	1	1
A16	B61	1	1
A16	B62	1	1
A16	B63	1	1
A16	B64	1	1
A16	B65	1	1
A16	B66	1	1
A16	B67	1	1
A16	B68	1	1
A16	B69	1	1
A16	B70	1	1
A16	B71	1	1
A16	B72	1	1
A16	B73	1	1
A16	B74	1	1
A16	B75	1	1
A16	B76	1	1
A16	B77	1	1
A16	B78	1	1
A16	B79	1	1
A16	B80	1	1
A17	B1	0.9	0.3
A17	B2	0.9	0.3
A17	B3	0.9	0.3
A17	B4	0.9	0.3
A17	B5	0.9	0.3
A17	B6	0.9	0.3
A17	B7	0.9	0.3
A17	B8	0.9	0.3
A17	B9	0.9	0.3
A17	B10	0.9	0.3
A17	B11	0.9	0.3
A17	B12	0.9	0.3
A17	B13	0.9	0.3
A17	B14	0.9	0.3
A17	B15	0.9	0.3
A17	B16	0.9	0.3
A17	B17	0.9	0.3
A17	B18	0.9	0.3
A17	B19	0.9	0.3
A17	B20	0.9	0.3
A17	B21	0.9	0.3
A17	B22	0.9	0.3
A17	B23	0.9	0.3
A17	B24	0.9	0.3
A17	B25	0.9	0.3
A17	B26	0.9	0.3
A17	B27	0.9	0.3
A17	B28	0.9	0.3
A17	B29	0.9	0.3
A17	B30	0.9	0.3
A17	B31	0.9	0.3
A17	B32	0.9	0.3
A17	B33	0.9	0.3
A17	B34	0.9	0.3
A17	B35	0.9	0.3
A17	B36	0.9	0.3
A17	B37	0.9	0.3
A17	B38	0.9	0.3
A17	B39	0.9	0.3
A17	B40	0.9	0.3
A17	B41	1	1
A17	B42	1	1
A17	B43	1	1
A17	B44	1	1
A17	B45	1	1
A17	B46	1	1
A17	B47	1	1
A17	B48	1	1
A17	B49	1	1
A17	B50	1	1
A17	B51	1	1
A17	B52	1	1
A17	B53	1	1
A17	B54	1	1
A17	B55	1	1
A17	B56	1	1
A17	B57	1	1
A17	B58	1	1
A17	B59	1	1
A17	B60	1	1
A17	B61	1	1
A17	B62	1	1
A17	B63	1	1
A17	B64	1	1
A17	B65	1	1
A17	B66	1	1
A17	B67	1	1
A17	B68	1	1
A17	B69	1	1
A17	B70	1	1
A17	B71	1	1
A17	B72	1	1
A17	B73	1	1
A17	B74	1	1
A17	B75	1	1
A17	B76	1	1
A17	B77	1	1
A17	B78	1	1
A17	B79	1	1
A17	B80	1	1
A18	B1	0.9	0.3
A18	B2	0.9	0.3
A18	B3	0.9	0.3
A18	B4	0.9	0.3
A18	B5	0.9	0.3
A18	B6	0.9	0.3
A18	B7	0.9	0.3
A18	B8	0.9	0.3
A18	B9	0.9	0.3
A18	B10	0.9	0.3
A18	B11	0.9	0.3
A18	B12	0.9	0.3
A18	B13	0.9	0.3
A18	B14	0.9	0.3
A18	B15	0.9	0.3
A18	B16	0.9	0.3
A18	B17	0.9	0.3
A18	B18	0.9	0.3
A18	B19	0.9	0.3
A18	B20	0.9	0.3
A18	B21	0.9	0.3
A18	B22	0.9	0.3
A18	B23	0.9	0.3
A18	B24	0.9	0.3
A18	B25	0.9	0.3
A18	B26	0.9	0.3
A18	B27	0.9	0.3
A18	B28	0.9	0.3
A18	B29	0.9	0.3
A18	B30	0.9	0.3
A18	B31	0.9	0.3
A18	B32	0.9	0.3
A18	B33	0.9	0.3
A18	B34	0.9	0.3
A18	B35	0.9	0.3
A18	B36	0.9	0.3
A18	B37	0.9	0.3
A18	B38	0.9	0.3
A18	B39	0.9	0.3
A18	B40	0.9	0.3
A18	B41	1	1
A18	B42	1	1
A18	B43	1	1
A18	B44	1	1
A18	B45	1	1
A18	B46	1	1
A18	B47	1	1
A18	B48	1	1
A18	B49	1	1
A18	B50	1	1
A18	B51	1	1
A18	B52	1	1
A18	B53	1	1
A18	B54	1	1
A18	B55	1	1
A18	B56	1	1
A18	B57	1	1
A18	B58	1	1
A18	B59	1	1
A18	B60	1	1
A18	B61	1	1
A18	B62	1	1
A18	B63	1	1
A18	B64	1	1
A18	B65	1	1
A18	B66	1	1
A18	B67	1	1
A18	B68	1	1
A18	B69	1	1
A18	B70	1	1
A18	B71	1	1
A18	B72	1	1
A18	B73	1	1
A18	B74	1	1
A18	B75	1	1
A18	B76	1	1
A18	B77	1	1
A18	B78	1	1
A18	B79	1	1
A18	B80	1	1
A19	B1	0.9	0.3
A19	B2	0.9	0.3
A19	B3	0.9	0.3
A19	B4	0.9	0.3
A19	B5	0.9	0.3
A19	B6	0.9	0.3
A19	B7	0.9	0.3
A19	B8	0.9	0.3
A19	B9	0.9	0.3
A19	B10	0.9	0.3
A19	B11	0.9	0.3
A19	B12	0.9	0.3
A19	B13	0.9	0.3
A19	B14	0.9	0.3
A19	B15	0.9	0.3
A19	B16	0.9	0.3
A19	B17	0.9	0.3
A19	B18	0.9	0.3
A19	B19	0.9	0.3
A19	B20	0.9	0.3
A19	B21	0.9	0.3
A19	B22	0.9	0.3
A19	B23	0.9	0.3
A19	B24	0.9	0.3
A19	B25	0.9	0.3
A19	B26	0.9	0.3
A19	B27	0.9	0.3
A19	B28	0.9	0.3
A19	B29	0.9	0.3
A19	B30	0.9	0.3
A19	B31	0.9	0.3
A19	B32	0.9	0.3
A19	B33	0.9	0.3
A19	B34	0.9	0.3
A19	B35	0.9	0.3
A19	B36	0.9	0.3
A19	B37	0.9	0.3
A19	B38	0.9	0.3
A19	B39	0.9	0.3
A19	B40	0.9	0.3
A19	B41	1	1
A19	B42	1	1
A19	B43	1	1
A19	B44	1	1
A19	B45	1	1
A19	B46	1	1
A19	B47	1	1
A19	B48	1	1
A19	B49	1	1
A19	B50	1	1
A19	B51	1	1
A19	B52	1	1
A19	B53	1	1
A19	B54	1	1
A19	B55	1	1
A19	B56	1	1
A19	B57	1	1
A19	B58	1	1
A19	B59	1	1
A19	B60	1	1
A19	B61	1	1
A19	B62	1	1
A19	B63	1	1
A19	B64	1	1
A19	B65	1	1
A19	B66	1	1
A19	B67	1	1
A19	B68	1	1
A19	B69	1	1
A19	B70	1	1
A19	B71	1	1
A19	B72	1	1
A19	B73	1	1
A19	B74	1	1
A19	B75	1	1
A19	B76	1	1
A19	B77	1	1
A19	B78	1	1
A19	B79	1	1
A19	B80	1	1
A20	B1	0.9	0.3
A20	B2	0.9	0.3
A20	B3	0.9	0.3
A20	B4	0.9	0.3
A20	B5	0.9	0.3
A20	B6	0.9	0.3
A20	B7	0.9	0.3
A20	B8	0.9	0.3
A20	B9	0.9	0.3
A20	B10	0.9	0.3
A20	B11	0.9	0.3
A20	B12	0.9	0.3
A20	B13	0.9	0.3
A20	B14	0.9	0.3
A20	B15	0.9	0.3
A20	B16	0.9	0.3
A20	B17	0.9	0.3
A20	B18	0.9	0.3
A20	B19	0.9	0.3
A20	B20	0.9	0.3
A20	B21	0.9	0.3
A20	B22	0.9	0.3
A20	B23	0.9	0.3
A20	B24	0.9	0.3
A20	B25	0.9	0.3
A20	B26	0.9	0.3
A20	B27	0.9	0.3
A20	B28	0.9	0.3
A20	B29	0.9	0.3
A20	B30	0.9	0.3
A20	B31	0.9	0.3
A20	B32	0.9	0.3
A20	B33	0.9	0.3
A20	B34	0.9	0.3
A20	B35	0.9	0.3
A20	B36	0.9	0.3
A20	B37	0.9	0.3
A20	B38	0.9	0.3
A20	B39	0.9	0.3
A20	B40	0.9	0.3
A20	B41	1	1
A20	B42	1	1
A20	B43	1	1
A20	B44	1	1
A20	B45	1	1
A20	B46	1	1
A20	B47	1	1
A20	B48	1	1
A20	B49	1	1
A20	B50	1	1
A20	B51	1	1
A20	B52	1	1
A20	B53	1	1
A20	B54	1	1
A20	B55	1	1
A20	B56	1	1
A20	B57	1	1
A20	B58	1	1
A20	B59	1	1
A20	B60	1	1
A20	B61	1	1
A20	B62	1	1
A20	B63	1	1
A20	B64	1	1
A20	B65	1	1
A20	B66	1	1
A20	B67	1	1
A20	B68	1	1
A20	B69	1	1
A20	B70	1	1
A20	B71	1	1
A20	B72	1	1
A20	B73	1	1
A20	B74	1	1
A20	B75	1	1
A20	B76	1	1
A20	B77	1	1
A20	B78	1	1
A20	B79	1	1
A20	B80	1	1
